"classification","number_of_clusters","taxlevel","clustering_parameter"
"closed",9,"species",0.9
NA,17,"species",0.9
"closed",8,"genus",0.9
"open",3,"genus",0.9
NA,15,"genus",0.9
"closed",9,"species",0.91
NA,17,"species",0.91
"closed",8,"genus",0.91
"open",3,"genus",0.91
NA,15,"genus",0.91
"closed",9,"species",0.92
NA,17,"species",0.92
"closed",8,"genus",0.92
"open",3,"genus",0.92
NA,15,"genus",0.92
"closed",9,"species",0.93
NA,17,"species",0.93
"closed",8,"genus",0.93
"open",3,"genus",0.93
NA,15,"genus",0.93
"closed",9,"species",0.94
NA,17,"species",0.94
"closed",8,"genus",0.94
"open",3,"genus",0.94
NA,15,"genus",0.94
"closed",9,"species",0.95
NA,17,"species",0.95
"closed",8,"genus",0.95
"open",3,"genus",0.95
NA,15,"genus",0.95
"closed",9,"species",0.96
NA,17,"species",0.96
"closed",8,"genus",0.96
"open",3,"genus",0.96
NA,15,"genus",0.96
"closed",9,"species",0.97
NA,17,"species",0.97
"closed",8,"genus",0.97
"open",3,"genus",0.97
NA,15,"genus",0.97
"closed",9,"species",0.98
NA,18,"species",0.98
"closed",8,"genus",0.98
"open",3,"genus",0.98
NA,16,"genus",0.98
"closed",9,"species",0.99
NA,19,"species",0.99
"closed",8,"genus",0.99
"open",3,"genus",0.99
NA,17,"genus",0.99
