"run"	"marker"	"sample"	"replicate"	"sortedfasta"
"run1"	"MFZR"	"tpos1_run1"	1	"run1_MFZR_tpos1_run1_1_mfzr_1_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"tnegtag_run1"	1	"run1_MFZR_tnegtag_run1_1_mfzr_1_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"14ben01"	1	"run1_MFZR_14ben01_1_mfzr_1_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"14ben02"	1	"run1_MFZR_14ben02_1_mfzr_1_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"tpos1_run1"	2	"run1_MFZR_tpos1_run1_2_mfzr_2_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"tnegtag_run1"	2	"run1_MFZR_tnegtag_run1_2_mfzr_2_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"14ben01"	2	"run1_MFZR_14ben01_2_mfzr_2_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"14ben02"	2	"run1_MFZR_14ben02_2_mfzr_2_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"tpos1_run1"	3	"run1_MFZR_tpos1_run1_3_mfzr_3_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"tnegtag_run1"	3	"run1_MFZR_tnegtag_run1_3_mfzr_3_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"14ben01"	3	"run1_MFZR_14ben01_3_mfzr_3_fw_trimmed.fasta.gz"
"run1"	"MFZR"	"14ben02"	3	"run1_MFZR_14ben02_3_mfzr_3_fw_trimmed.fasta.gz"
