"","parameters","asv_count","read_count","sample_count","sample_replicate_count"
"Input",NA,10458,123527,4,12
"Swarm","TRUE",415,123527,4,12
"LFNglobalReadCount","2",147,123236,4,12
"FilterIndel",NA,143,123196,4,12
"FilerCodonStop","5",143,123196,4,12
"FilterChimera","2;TRUE;0.8",122,122619,4,12
"FilerRenkonen","0.4",122,122570,4,11
"FilterPCRerror","0.05;2;TRUE",117,122531,4,11
"LFNsampleReplicate","0.004",60,120784,4,11
"FilterMinReplicate","2",38,119435,4,11
"LFNvariant","0.001",38,119366,4,11
"LFNreadCount","10",34,119372,4,11
"FilterLFN",NA,34,119320,4,10
"FilterMinReplicate1","2",31,119147,3,9
"PoolReplicates",NA,31,40041,3,NA
"ClusterSize_mOTU","0.97",27,40041,3,NA
"Swarm_mOTU","7",28,40041,3,NA
