"lfn_read_count_cutoff","lnf_variant_cutoff","FN","TP","FP"
10,0.001,0,6,4
15,0.001,0,6,4
20,0.001,0,6,4
25,0.001,0,6,4
30,0.001,0,6,4
35,0.001,0,6,4
40,0.001,0,6,4
45,0.001,0,6,4
50,0.001,0,6,4
55,0.001,0,6,4
60,0.001,0,6,4
65,0.001,0,6,4
70,0.001,0,6,4
75,0.001,0,6,4
80,0.001,0,6,4
85,0.001,0,6,4
90,0.001,0,6,4
95,0.001,0,6,4
100,0.001,0,6,4
10,0.002,0,6,4
15,0.002,0,6,4
20,0.002,0,6,4
25,0.002,0,6,4
30,0.002,0,6,4
35,0.002,0,6,4
40,0.002,0,6,4
45,0.002,0,6,4
50,0.002,0,6,4
55,0.002,0,6,4
60,0.002,0,6,4
65,0.002,0,6,4
70,0.002,0,6,4
75,0.002,0,6,4
80,0.002,0,6,4
85,0.002,0,6,4
90,0.002,0,6,4
95,0.002,0,6,4
100,0.002,0,6,4
10,0.003,0,6,4
15,0.003,0,6,4
20,0.003,0,6,4
25,0.003,0,6,4
30,0.003,0,6,4
35,0.003,0,6,4
40,0.003,0,6,4
45,0.003,0,6,4
50,0.003,0,6,4
55,0.003,0,6,4
60,0.003,0,6,4
65,0.003,0,6,4
70,0.003,0,6,4
75,0.003,0,6,4
80,0.003,0,6,4
85,0.003,0,6,4
90,0.003,0,6,4
95,0.003,0,6,4
100,0.003,0,6,4
10,0.004,0,6,4
15,0.004,0,6,4
20,0.004,0,6,4
25,0.004,0,6,4
30,0.004,0,6,4
35,0.004,0,6,4
40,0.004,0,6,4
45,0.004,0,6,4
50,0.004,0,6,4
55,0.004,0,6,4
60,0.004,0,6,4
65,0.004,0,6,4
70,0.004,0,6,4
75,0.004,0,6,4
80,0.004,0,6,4
85,0.004,0,6,4
90,0.004,0,6,4
95,0.004,0,6,4
100,0.004,0,6,4
10,0.005,0,6,4
15,0.005,0,6,4
20,0.005,0,6,4
25,0.005,0,6,4
30,0.005,0,6,4
35,0.005,0,6,4
40,0.005,0,6,4
45,0.005,0,6,4
50,0.005,0,6,4
55,0.005,0,6,4
60,0.005,0,6,4
65,0.005,0,6,4
70,0.005,0,6,4
75,0.005,0,6,4
80,0.005,0,6,4
85,0.005,0,6,4
90,0.005,0,6,4
95,0.005,0,6,4
100,0.005,0,6,4
10,0.006,0,6,4
15,0.006,0,6,4
20,0.006,0,6,4
25,0.006,0,6,4
30,0.006,0,6,4
35,0.006,0,6,4
40,0.006,0,6,4
45,0.006,0,6,4
50,0.006,0,6,4
55,0.006,0,6,4
60,0.006,0,6,4
65,0.006,0,6,4
70,0.006,0,6,4
75,0.006,0,6,4
80,0.006,0,6,4
85,0.006,0,6,4
90,0.006,0,6,4
95,0.006,0,6,4
100,0.006,0,6,4
10,0.007,0,6,4
15,0.007,0,6,4
20,0.007,0,6,4
25,0.007,0,6,4
30,0.007,0,6,4
35,0.007,0,6,4
40,0.007,0,6,4
45,0.007,0,6,4
50,0.007,0,6,4
55,0.007,0,6,4
60,0.007,0,6,4
65,0.007,0,6,4
70,0.007,0,6,4
75,0.007,0,6,4
80,0.007,0,6,4
85,0.007,0,6,4
90,0.007,0,6,4
95,0.007,0,6,4
100,0.007,0,6,4
10,0.008,0,6,4
15,0.008,0,6,4
20,0.008,0,6,4
25,0.008,0,6,4
30,0.008,0,6,4
35,0.008,0,6,4
40,0.008,0,6,4
45,0.008,0,6,4
50,0.008,0,6,4
55,0.008,0,6,4
60,0.008,0,6,4
65,0.008,0,6,4
70,0.008,0,6,4
75,0.008,0,6,4
80,0.008,0,6,4
85,0.008,0,6,4
90,0.008,0,6,4
95,0.008,0,6,4
100,0.008,0,6,4
10,0.009,0,6,4
15,0.009,0,6,4
20,0.009,0,6,4
25,0.009,0,6,4
30,0.009,0,6,4
35,0.009,0,6,4
40,0.009,0,6,4
45,0.009,0,6,4
50,0.009,0,6,4
55,0.009,0,6,4
60,0.009,0,6,4
65,0.009,0,6,4
70,0.009,0,6,4
75,0.009,0,6,4
80,0.009,0,6,4
85,0.009,0,6,4
90,0.009,0,6,4
95,0.009,0,6,4
100,0.009,0,6,4
10,0.01,0,6,4
15,0.01,0,6,4
20,0.01,0,6,4
25,0.01,0,6,4
30,0.01,0,6,4
35,0.01,0,6,4
40,0.01,0,6,4
45,0.01,0,6,4
50,0.01,0,6,4
55,0.01,0,6,4
60,0.01,0,6,4
65,0.01,0,6,4
70,0.01,0,6,4
75,0.01,0,6,4
80,0.01,0,6,4
85,0.01,0,6,4
90,0.01,0,6,4
95,0.01,0,6,4
100,0.01,0,6,4
